STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,TERRITORIAL_LEVEL,Territorial level,REF_AREA,Reference area,TERRITORIAL_TYPE,Territorial typology,MEASURE,Measure,AGE,Age,SEX,Sex,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,COUNTRY,Country,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU3,Queensland,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,_T,Total,Y,Years,2021,,83,83,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU2,Victoria,_Z,Not applicable,NURSES_P,Practising nurses,_T,Total,_T,Total,PS,Persons,2021,,87440,87440,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU7,Northern Territory,_Z,Not applicable,MORT_CRUDE_RATIO,Crude mortality rate,_T,Total,_T,Total,10P3HB,Per 1 000 inhabitants,2023,,5.223,5.223,AUS,Australia,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU2,Victoria,_Z,Not applicable,H_DISCHARGE_T,Hospital discharges,_Z,Not applicable,_Z,Not applicable,DSC_10P5PS,Discharges per 100 000 persons,2019,,17442.49,17442.49,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU2,Victoria,_Z,Not applicable,H_DISCHARGE_T,Hospital discharges,_Z,Not applicable,_Z,Not applicable,DSC_10P5PS,Discharges per 100 000 persons,2020,,16411.92,16411.92,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU8,Australian Capital Territory,_Z,Not applicable,MORT_STANDARD_RATIO,Age-adjusted mortality rate,_T,Total,_T,Total,10P3HB,Per 1 000 inhabitants,2019,,5.78,5.78,AUS,Australia,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU7,Northern Territory,_Z,Not applicable,NURSES_P,Practising nurses,_T,Total,_T,Total,10P3HB,Per 1 000 inhabitants,2019,,14.47,14.47,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU7,Northern Territory,_Z,Not applicable,NURSES_P,Practising nurses,_T,Total,_T,Total,10P3HB,Per 1 000 inhabitants,2020,,14.33,14.33,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU6,Tasmania,_Z,Not applicable,MORT_CRUDE_RATIO,Crude mortality rate,Y_LT15,Less than 15 years,_T,Total,10P3HB,Per 1 000 inhabitants,2020,,0.323,0.323,AUS,Australia,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU2,Victoria,_Z,Not applicable,H_DISCHARGE_T,Hospital discharges,_Z,Not applicable,_Z,Not applicable,DSC,Discharges,2019,,1139143,1139143,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU2,Victoria,_Z,Not applicable,H_DISCHARGE_T,Hospital discharges,_Z,Not applicable,_Z,Not applicable,DSC,Discharges,2020,,1084196,1084196,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,CTRY,Country,AUS,Australia,_Z,Not applicable,MORT_STANDARD_RATIO,Age-adjusted mortality rate,_T,Total,_T,Total,10P3HB,Per 1 000 inhabitants,2019,,6.24,6.24,AUS,Australia,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,CTRY,Country,AUS,Australia,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,_T,Total,Y,Years,2020,,83.2,83.2,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,CTRY,Country,AUS,Australia,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,_T,Total,Y,Years,2021,,83.3,83.3,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,CTRY,Country,AUS,Australia,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,_T,Total,Y,Years,2022,,83.2,83.2,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU6,Tasmania,_Z,Not applicable,MORT_ICDJ_CRUDE_RATIO,Respiratory system diseases mortality crude rate,_T,Total,_T,Total,10P5HB,Per 100 000 inhabitants,2019,,55.8,55.8,AUS,Australia,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_HEALTH(2.0),Health statistics - Regions,I,A,Annual,TL2,TL2,AU6,Tasmania,_Z,Not applicable,MORT_ICDJ_CRUDE_RATIO,Respiratory system diseases mortality crude rate,_T,Total,_T,Total,10P5HB,Per 100 000 inhabitants,2020,,44.7,44.7,AUS,Australia,A,Normal value,0,Units,2,Two
